   Compiling proc_A_dine01 v0.1.1 (C:\dev\github\Rust_engine_template_01)
src\strategic\site\mod.rs:20:62: warning: unused import: `TILE_OCCUPATION_OVERLAP_EPSILON`
src\dev\steward_witness_sync_proof.rs:7:38: warning: unused imports: `AGENT_DEBUG_INDEX_PATH` and `refresh_agent_debug_index`
src\dev\coder_a_dual_queue_closure_v1.rs:7:7: warning: constant `STAGE5` is never used
src\dev\coder_a_dual_queue_closure_v1.rs:8:7: warning: constant `INFRA` is never used
src\dev\coder_a_dual_queue_closure_v1.rs:9:7: warning: constant `STAGE7` is never used
src\dev\coder_a_dual_queue_closure_v1.rs:10:7: warning: constant `UI_SHELL` is never used
src\dev\coder_a_dual_queue_closure_v1.rs:11:7: warning: constant `WAVE_P` is never used
src\dev\coder_a_dual_queue_closure_v1.rs:12:7: warning: constant `STAGE6` is never used
src\dev\coder_a_dual_queue_closure_v1.rs:14:4: warning: function `repo_root` is never used
src\dev\coder_a_dual_queue_closure_v1.rs:20:4: warning: function `read_json` is never used
src\dev\coder_a_dual_queue_closure_v1.rs:26:4: warning: function `pointer_bool` is never used
src\dev\coder_a_wave3_closure_v1.rs:7:7: warning: constant `STAGE5` is never used
src\dev\coder_a_wave3_closure_v1.rs:8:7: warning: constant `INFRA` is never used
src\dev\coder_a_wave3_closure_v1.rs:9:7: warning: constant `WAVE_P` is never used
src\dev\coder_a_wave3_closure_v1.rs:10:7: warning: constant `STAGE7` is never used
src\dev\coder_a_wave3_closure_v1.rs:11:7: warning: constant `FIRE_STREAMING` is never used
src\dev\coder_a_wave3_closure_v1.rs:12:7: warning: constant `COMPILE_HYGIENE` is never used
src\dev\coder_a_wave3_closure_v1.rs:14:4: warning: function `repo_root` is never used
src\dev\coder_a_wave3_closure_v1.rs:20:4: warning: function `read_json` is never used
src\dev\coder_a_wave3_closure_v1.rs:26:4: warning: function `pointer_bool` is never used
src\dev\coder_b_ui_five_lane_proof.rs:9:7: warning: constant `UI_SHELL` is never used
src\dev\coder_b_ui_five_lane_proof.rs:12:7: warning: constant `FIVE_LANE_SHELL` is never used
src\dev\coder_b_ui_five_lane_proof.rs:29:4: warning: function `repo_root` is never used
src\dev\coder_b_ui_five_lane_proof.rs:35:4: warning: function `read_json` is never used
src\dev\coder_b_ui_five_lane_proof.rs:41:4: warning: function `pointer_bool` is never used
src\dev\coder_b_ui_five_lane_proof.rs:47:4: warning: function `pointer_u64` is never used
src\dev\coder_b_ui_w3_witness_proof.rs:11:7: warning: constant `UI_SHELL` is never used
src\dev\coder_b_ui_w3_witness_proof.rs:12:7: warning: constant `STAGE5` is never used
src\dev\coder_b_ui_w3_witness_proof.rs:13:7: warning: constant `INFRA` is never used
src\dev\coder_b_ui_w3_witness_proof.rs:14:7: warning: constant `STAGE6` is never used
src\dev\coder_b_ui_w3_witness_proof.rs:15:7: warning: constant `MINIMAP` is never used
src\dev\coder_b_ui_w3_witness_proof.rs:17:7: warning: constant `WITNESS_SHELL` is never used
src\dev\coder_b_ui_w3_witness_proof.rs:28:7: warning: constant `WITNESS_CROSS` is never used
src\dev\coder_b_ui_w3_witness_proof.rs:44:4: warning: function `repo_root` is never used
src\dev\coder_b_ui_w3_witness_proof.rs:50:4: warning: function `read_json` is never used
src\dev\coder_b_ui_w3_witness_proof.rs:56:4: warning: function `pointer_bool` is never used
src\dev\coder_b_ui_w3_witness_proof.rs:62:4: warning: function `pointer_str` is never used
src\dev\coder_b_ui_w3_witness_proof.rs:69:4: warning: function `pointer_u64` is never used
src\dev\coder_b_ui_w3_p6_proof.rs:12:7: warning: constant `P6_SHELL` is never used
src\dev\coder_b_ui_w3_p6_proof.rs:21:7: warning: constant `P6_MULTIVIEW` is never used
src\dev\triage_vm09_v2_proof.rs:9:7: warning: constant `INFRA` is never used
src\dev\triage_vm09_v2_proof.rs:11:7: warning: constant `V2_GATES` is never used
src\dev\triage_vm09_v2_proof.rs:25:4: warning: function `read_json` is never used
src\dev\triage_vm09_v2_proof.rs:31:4: warning: function `pointer_bool` is never used
src\dev\triage_vm09_v2_proof.rs:37:4: warning: function `pointer_str` is never used
src\dev\s7b_m2_m3_coder_proof.rs:9:7: warning: constant `BEHAVIORAL` is never used
src\dev\s7b_m2_m3_coder_proof.rs:10:7: warning: constant `MINIMAP` is never used
src\dev\s7b_m2_m3_coder_proof.rs:11:7: warning: constant `INFRA` is never used
src\dev\s7b_m2_m3_coder_proof.rs:13:7: warning: constant `M2_M3_BEHAVIORAL` is never used
src\dev\s7b_m2_m3_coder_proof.rs:23:7: warning: constant `M3_MINIMAP` is never used
src\dev\s7b_m2_m3_coder_proof.rs:29:4: warning: function `repo_root` is never used
src\dev\s7b_m2_m3_coder_proof.rs:35:4: warning: function `read_json` is never used
src\dev\s7b_m2_m3_coder_proof.rs:41:4: warning: function `pointer_bool` is never used
src\dev\s7b_m2_m3_coder_proof.rs:47:4: warning: function `pointer_u64` is never used
src\dev\coder_b_s7p_construction_mv_proof.rs:5:7: warning: constant `INDUSTRIAL` is never used
src\dev\coder_b_s7p_construction_mv_proof.rs:6:7: warning: constant `CONSTRUCTION` is never used
src\dev\coder_b_s7p_construction_mv_proof.rs:8:4: warning: function `repo_root` is never used
src\dev\coder_b_s7p_construction_mv_proof.rs:14:4: warning: function `read_json` is never used
src\dev\coder_b_queue_bundle_proof.rs:5:7: warning: constant `STAGE5` is never used
src\dev\coder_b_queue_bundle_proof.rs:6:7: warning: constant `INDUSTRIAL` is never used
src\dev\coder_b_queue_bundle_proof.rs:7:7: warning: constant `SHELL` is never used
src\dev\coder_b_queue_bundle_proof.rs:8:7: warning: constant `INFRA` is never used
src\dev\coder_b_queue_bundle_proof.rs:9:7: warning: constant `WAVE_P` is never used
src\dev\coder_b_queue_bundle_proof.rs:10:7: warning: constant `WAVE_C` is never used
src\dev\coder_b_queue_bundle_proof.rs:11:7: warning: constant `CONSTRUCTION` is never used
src\dev\coder_b_queue_bundle_proof.rs:13:4: warning: function `repo_root` is never used
src\dev\coder_b_queue_bundle_proof.rs:19:4: warning: function `read_json` is never used
src\dev\coder_b_queue_bundle_proof.rs:25:4: warning: function `pointer_bool` is never used
src\dev\coder_b_queue_bundle_proof.rs:31:4: warning: function `pointer_u64` is never used
src\dev\coder_b_wave3_bundle_proof.rs:5:7: warning: constant `INDUSTRIAL` is never used
src\dev\coder_b_wave3_bundle_proof.rs:6:7: warning: constant `CONSTRUCTION` is never used
src\dev\coder_b_wave3_bundle_proof.rs:7:7: warning: constant `STAGE5` is never used
src\dev\coder_b_wave3_bundle_proof.rs:8:7: warning: constant `MINIMAP` is never used
src\dev\coder_b_wave3_bundle_proof.rs:9:7: warning: constant `REPLAY` is never used
src\dev\coder_b_wave3_bundle_proof.rs:10:7: warning: constant `INFRA` is never used
src\dev\coder_b_wave3_bundle_proof.rs:11:7: warning: constant `STAGE6` is never used
src\dev\coder_b_wave3_bundle_proof.rs:12:7: warning: constant `STAGE7_BEH` is never used
src\dev\coder_b_wave3_bundle_proof.rs:13:7: warning: constant `WAVE_S_HYDRATE` is never used
src\dev\coder_b_wave3_bundle_proof.rs:14:7: warning: constant `WAVE_S_ROUNDTRIP` is never used
src\dev\coder_b_wave3_bundle_proof.rs:16:4: warning: function `repo_root` is never used
src\dev\coder_b_wave3_bundle_proof.rs:22:4: warning: function `read_json` is never used
src\dev\coder_b_wave3_bundle_proof.rs:28:4: warning: function `pointer_bool` is never used
src\construction\build_tool_authority.rs:231:8: warning: function `enter_commits_single_ghost_witness_green` is never used
src\economy\activation\live_proof.rs:64:8: warning: function `ind_e03_witness_001_green` is never used
src\economy\activation\live_proof.rs:284:4: warning: function `prime_industrial_activation_proof_entities` is never used
warning: `proc_A_dine01` (lib) generated 138 warnings (run `cargo fix --lib -p proc_A_dine01` to apply 7 suggestions)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 11.68s
